YEAR,LOCATION,"STATE ANSI","ASD CODE","COUNTY ANSI","REFERENCE PERIOD",COMMODITY,"PRODN PRACTICE","AREA HARVESTED in ACRES","AREA PLANTED in ACRES","PRODUCTION in CWT","YIELD in LB / ACRE","PRODUCTION in $"
1993,"MICHIGAN, NORTHWEST, OTHER (COMBINED) COUNTIES",26,20,"   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",70,100,"1,000","1,430"," "
1993,"MICHIGAN, SOUTH CENTRAL",26,80,"   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","19,100","21,000","255,000","1,340"," "
1993,"MICHIGAN, EAST CENTRAL, SANILAC",26,60,151,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","27,500","28,000","440,000","1,600"," "
1993,"MICHIGAN, SOUTH CENTRAL, BRANCH",26,80,023,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",450,500,"8,000","1,780"," "
1993,"MICHIGAN, SOUTH CENTRAL, CLINTON",26,80,037,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","2,100","2,300","28,000","1,330"," "
1993,"MICHIGAN, SOUTH CENTRAL, EATON",26,80,045,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","6,600","7,000","90,000","1,360"," "
1993,"MICHIGAN, SOUTH CENTRAL, INGHAM",26,80,065,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",250,300,"3,500","1,400"," "
1993,"MICHIGAN, SOUTH CENTRAL, IONIA",26,80,067,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","6,300","7,200","70,000","1,110"," "
1993,"MICHIGAN, SOUTH CENTRAL, OTHER (COMBINED) COUNTIES",26,80,"   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",100,100,"1,500","1,500"," "
1993,"MICHIGAN, SOUTH CENTRAL, SHIAWASSEE",26,80,155,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","1,000","1,100","15,000","1,500"," "
1993,"MICHIGAN, EAST CENTRAL, HURON",26,60,063,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","97,000","98,000","1,710,000","1,760"," "
1993,"MICHIGAN, SOUTH CENTRAL, ST JOSEPH",26,80,149,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","2,000","2,200","35,000","1,750"," "
1993,"MICHIGAN, SOUTHEAST",26,90,"   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","10,000","11,000","145,000","1,450"," "
1993,"MICHIGAN, SOUTHEAST, GENESEE",26,90,049,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",600,600,"6,700","1,120"," "
1993,"MICHIGAN, SOUTHEAST, LAPEER",26,90,087,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","7,500","8,300","110,000","1,470"," "
1993,"MICHIGAN, SOUTHEAST, LENAWEE",26,90,091,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",300,300,"4,000","1,330"," "
1993,"MICHIGAN, SOUTHEAST, LIVINGSTON",26,90,093,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",200,200,"2,800","1,400"," "
1993,"MICHIGAN, SOUTHEAST, MACOMB",26,90,099,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",300,300,"3,500","1,170"," "
1993,"MICHIGAN, SOUTHEAST, MONROE",26,90,115,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",400,400,"6,000","1,500"," "
1993,"MICHIGAN, SOUTHEAST, ST CLAIR",26,90,147,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",700,900,"12,000","1,710"," "
1993,"MICHIGAN, SOUTHWEST",26,70,"   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","2,900","3,000","44,000","1,520"," "
1993,"MICHIGAN, SOUTHWEST, CASS",26,70,027,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",300,300,"4,500","1,500"," "
1993,"MICHIGAN, SOUTHWEST, KALAMAZOO",26,70,077,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",500,500,"8,000","1,600"," "
1993,"MICHIGAN, SOUTHWEST, KENT",26,70,081,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","2,000","2,100","30,000","1,500"," "
1993,"MICHIGAN, SOUTHWEST, OTHER (COMBINED) COUNTIES",26,70,"   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",100,100,"1,500","1,500"," "
1993,"MICHIGAN, UPPER PENINSULA",26,10,"   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","1,400","1,500","19,000","1,360"," "
1993,"MICHIGAN, UPPER PENINSULA, DELTA",26,10,041,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","1,300","1,400","17,700","1,360"," "
1993,"MICHIGAN, UPPER PENINSULA, OTHER (COMBINED) COUNTIES",26,10,"   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",100,100,"1,300","1,300"," "
1993,"MICHIGAN, WEST CENTRAL",26,40,"   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",200,400,"3,000","1,500"," "
1993,"MICHIGAN, WEST CENTRAL, OTHER (COMBINED) COUNTIES",26,40,"   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",200,400,"3,000","1,500"," "
1993,"US TOTAL","  ","  ","   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","1,618,000","1,867,900","21,862,000","1,351","538,210,000"
1994,"MICHIGAN, UPPER PENINSULA, MENOMINEE",26,10,109,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",190,200,"2,000","1,050"," "
1994,"MICHIGAN, SOUTH CENTRAL, IONIA",26,80,067,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","3,130","3,400","27,500",880," "
1994,"MICHIGAN, UPPER PENINSULA, DELTA",26,10,041,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","1,170","1,200","12,000","1,030"," "
1994,"MICHIGAN, SOUTH CENTRAL, INGHAM",26,80,065,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",380,400,"3,500",920," "
1994,"MICHIGAN, UPPER PENINSULA",26,10,"   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","1,450","1,500","15,000","1,030"," "
1994,"MICHIGAN, SOUTHWEST, KENT",26,70,081,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","2,400","2,500","40,000","1,670"," "
1994,"MICHIGAN, SOUTH CENTRAL, EATON",26,80,045,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","5,400","5,700","56,000","1,040"," "
1994,"MICHIGAN, SOUTHWEST, CASS",26,70,027,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",200,200,"3,000","1,500"," "
1994,"MICHIGAN, SOUTH CENTRAL, CLINTON",26,80,037,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","2,020","2,100","16,800",830," "
1994,"MICHIGAN, SOUTHWEST",26,70,"   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","2,900","3,000","49,000","1,690"," "
1994,"MICHIGAN, SOUTH CENTRAL, CALHOUN",26,80,025,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",200,200,"2,700","1,350"," "
1994,"MICHIGAN, SOUTHEAST, ST CLAIR",26,90,147,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",630,700,"6,800","1,080"," "
1994,"MICHIGAN, SOUTH CENTRAL, BRANCH",26,80,023,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",490,500,"5,500","1,120"," "
1994,"MICHIGAN, SOUTHEAST, OTHER (COMBINED) COUNTIES",26,90,"   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",280,300,"3,100","1,110"," "
1994,"MICHIGAN, SOUTH CENTRAL, BARRY",26,80,015,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",190,200,"2,000","1,050"," "
1994,"MICHIGAN, WEST CENTRAL, NEWAYGO",26,40,123,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",200,200,"2,600","1,300"," "
1994,"MICHIGAN, SOUTH CENTRAL",26,80,"   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","14,100","14,900","155,000","1,100"," "
1994,"MICHIGAN, NORTHWEST, OTHER (COMBINED) COUNTIES",26,20,"   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",270,300,"4,000","1,480"," "
1994,"MICHIGAN, SOUTHEAST, MONROE",26,90,115,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",360,400,"7,000","1,940"," "
1994,"MICHIGAN, NORTHWEST, MANISTEE",26,20,101,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","1,180","1,200","23,000","1,950"," "
1994,"MICHIGAN, SOUTHEAST, LENAWEE",26,90,091,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",470,500,"6,400","1,360"," "
1994,"MICHIGAN, WEST CENTRAL, OTHER (COMBINED) COUNTIES",26,40,"   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",200,200,"2,400","1,200"," "
1994,"MICHIGAN, NORTHWEST",26,20,"   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","1,450","1,500","27,000","1,860"," "
1994,"MICHIGAN, SOUTHEAST, LAPEER",26,90,087,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","7,350","7,800","79,000","1,070"," "
1994,"MICHIGAN, NORTHEAST, PRESQUE ISLE",26,30,141,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","2,890","3,000","36,300","1,260"," "
1994,"US TOTAL","  ","  ","   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","1,831,200","2,011,800","28,950,000","1,581","631,080,000"
1994,"MICHIGAN, NORTHEAST, OTSEGO",26,30,137,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",180,200,"2,300","1,280"," "
1994,"MICHIGAN, SOUTHEAST, GENESEE",26,90,049,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",910,"1,000","9,700","1,070"," "
1994,"MICHIGAN, SOUTHEAST",26,90,"   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","10,000","10,700","112,000","1,120"," "
1994,"MICHIGAN, NORTHEAST, OTHER (COMBINED) COUNTIES",26,30,"   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",90,100,"1,000","1,110"," "
1994,"MICHIGAN, NORTHEAST, OGEMAW",26,30,129,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",340,400,"3,400","1,000"," "
1994,"MICHIGAN, WEST CENTRAL",26,40,"   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",400,400,"5,000","1,250"," "
1994,"MICHIGAN, NORTHEAST, MONTMORENCY",26,30,119,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",440,500,"4,300",980," "
1994,"MICHIGAN, SOUTH CENTRAL, ST JOSEPH",26,80,149,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","1,850","1,900","37,000","2,000"," "
1994,"MICHIGAN, NORTHEAST, IOSCO",26,30,069,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",260,300,"3,400","1,310"," "
1994,"MICHIGAN, UPPER PENINSULA, OTHER (COMBINED) COUNTIES",26,10,"   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",90,100,"1,000","1,110"," "
1994,"MICHIGAN, NORTHEAST, ALPENA",26,30,007,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","3,620","4,000","46,000","1,270"," "
1994,"MICHIGAN, NORTHEAST, ALCONA",26,30,001,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",880,"1,000","10,300","1,170"," "
1994,"MICHIGAN, NORTHEAST",26,30,"   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","8,700","9,500","107,000","1,230"," "
1994,"MICHIGAN, SOUTHWEST, KALAMAZOO",26,70,077,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",300,300,"6,000","2,000"," "
1994,"MICHIGAN, EAST CENTRAL, TUSCOLA",26,60,157,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","58,000","63,000","730,000","1,260"," "
1994,"MICHIGAN, EAST CENTRAL, SANILAC",26,60,151,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","25,500","29,000","310,000","1,220"," "
1994,"MICHIGAN, EAST CENTRAL, SAGINAW",26,60,145,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","20,000","22,000","225,000","1,130"," "
1994,"MICHIGAN, EAST CENTRAL, HURON",26,60,063,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","103,000","108,000","1,580,000","1,530"," "
1994,"MICHIGAN, EAST CENTRAL, BAY",26,60,017,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","36,500","40,000","470,000","1,290"," "
1994,"MICHIGAN, EAST CENTRAL, ARENAC",26,60,011,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","12,000","13,000","125,000","1,040"," "
1994,"MICHIGAN, EAST CENTRAL",26,60,"   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","255,000","275,000","3,440,000","1,350"," "
1994,"MICHIGAN, CENTRAL, MONTCALM",26,50,117,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","18,400","19,900","241,200","1,310"," "
1994,"MICHIGAN, CENTRAL, MIDLAND",26,50,111,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","6,150","7,500","63,000","1,020"," "
1994,"MICHIGAN, CENTRAL, MECOSTA",26,50,107,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","2,600","2,700","32,800","1,260"," "
1994,"MICHIGAN, CENTRAL, ISABELLA",26,50,073,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","5,700","6,100","65,000","1,140"," "
1994,"MICHIGAN, CENTRAL, GRATIOT",26,50,057,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","31,000","35,000","340,000","1,100"," "
1994,"MICHIGAN, CENTRAL, GLADWIN",26,50,051,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","2,150","2,300","28,000","1,300"," "
1994,"MICHIGAN, CENTRAL",26,50,"   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","66,000","73,500","770,000","1,170"," "
1994,MICHIGAN,26,"  ","   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","360,000","390,000","4,680,000","1,300","126,828,000"
1994,"MICHIGAN, SOUTH CENTRAL, SHIAWASSEE",26,80,155,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",440,500,"4,000",910," "
1995,"MICHIGAN, EAST CENTRAL, TUSCOLA",26,60,157,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","62,700","63,000","1,232,000","1,960"," "
1995,"MICHIGAN, NORTHWEST",26,20,"   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","2,000","2,100","24,300","1,220"," "
1995,"MICHIGAN, CENTRAL, GLADWIN",26,50,051,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","2,300","2,300","38,900","1,690"," "
1995,"MICHIGAN, NORTHWEST, KALKASKA",26,20,079,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",700,700,"8,500","1,210"," "
1995,"MICHIGAN, EAST CENTRAL, ARENAC",26,60,011,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","13,600","13,700","201,000","1,480"," "
1995,"MICHIGAN, NORTHWEST, MANISTEE",26,20,101,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","1,050","1,100","12,600","1,200"," "
1995,"MICHIGAN, SOUTH CENTRAL, OTHER (COMBINED) COUNTIES",26,80,"   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",250,250,"3,650","1,460"," "
1995,"MICHIGAN, CENTRAL",26,50,"   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","71,800","73,000","1,290,000","1,800"," "
1995,"MICHIGAN, SOUTH CENTRAL, SHIAWASSEE",26,80,155,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",500,500,"8,500","1,700"," "
1995,"MICHIGAN, SOUTH CENTRAL, ST JOSEPH",26,80,149,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","2,500","2,500","51,900","2,080"," "
1995,"MICHIGAN, NORTHWEST, OTHER (COMBINED) COUNTIES",26,20,"   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",250,300,"3,200","1,280"," "
1995,"MICHIGAN, SOUTHEAST",26,90,"   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","10,200","10,400","198,000","1,940"," "
1995,"MICHIGAN, NORTHEAST",26,30,"   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","9,400","9,900","120,000","1,280"," "
1995,"MICHIGAN, SOUTHEAST, GENESEE",26,90,049,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","1,000","1,000","15,700","1,570"," "
1995,"MICHIGAN, SOUTH CENTRAL",26,80,"   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","13,300","13,700","230,000","1,730"," "
1995,"MICHIGAN, SOUTHEAST, LAPEER",26,90,087,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","6,850","7,000","137,000","2,000"," "
1995,"MICHIGAN, EAST CENTRAL, BAY",26,60,017,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","38,400","39,000","681,000","1,770"," "
1995,"MICHIGAN, SOUTHEAST, LENAWEE",26,90,091,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",450,450,"8,300","1,840"," "
1995,"MICHIGAN, SOUTH CENTRAL, BARRY",26,80,015,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",300,300,"4,100","1,370"," "
1995,"MICHIGAN, SOUTHEAST, MONROE",26,90,115,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",300,300,"5,400","1,800"," "
1995,"MICHIGAN, SOUTH CENTRAL, BRANCH",26,80,023,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","1,500","1,550","28,850","1,920"," "
1995,MICHIGAN,26,"  ","   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","385,000","390,000","6,930,000","1,800","134,442,000"
1995,"MICHIGAN, SOUTHEAST, OTHER (COMBINED) COUNTIES",26,90,"   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",300,300,"5,100","1,700"," "
1995,"MICHIGAN, SOUTHEAST, ST CLAIR",26,90,147,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","1,300","1,350","26,500","2,040"," "
1995,"MICHIGAN, SOUTH CENTRAL, CALHOUN",26,80,025,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",700,700,"13,000","1,860"," "
1995,"MICHIGAN, NORTHEAST, ALCONA",26,30,001,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","1,150","1,200","16,900","1,470"," "
1995,"MICHIGAN, SOUTHWEST",26,70,"   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","4,100","4,100","79,000","1,930"," "
1995,"MICHIGAN, SOUTHWEST, CASS",26,70,027,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",900,900,"17,000","1,890"," "
1995,"MICHIGAN, SOUTH CENTRAL, CLINTON",26,80,037,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","2,000","2,100","34,000","1,700"," "
1995,"MICHIGAN, CENTRAL, MONTCALM",26,50,117,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","19,300","19,600","336,900","1,750"," "
1995,"MICHIGAN, SOUTHWEST, KALAMAZOO",26,70,077,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","1,000","1,000","20,200","2,020"," "
1995,"MICHIGAN, NORTHEAST, ALPENA",26,30,007,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","3,980","4,200","44,900","1,130"," "
1995,"MICHIGAN, SOUTHWEST, KENT",26,70,081,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","1,800","1,800","34,000","1,890"," "
1995,"MICHIGAN, SOUTHWEST, OTHER (COMBINED) COUNTIES",26,70,"   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",400,400,"7,800","1,950"," "
1995,"MICHIGAN, CENTRAL, MIDLAND",26,50,111,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","7,050","7,200","117,000","1,660"," "
1995,"MICHIGAN, CENTRAL, OTHER (COMBINED) COUNTIES",26,50,"   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",150,150,"2,700","1,800"," "
1995,"MICHIGAN, UPPER PENINSULA",26,10,"   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","1,000","1,100","11,900","1,190"," "
1995,"MICHIGAN, NORTHEAST, IOSCO",26,30,069,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",290,300,"3,400","1,170"," "
1995,"MICHIGAN, UPPER PENINSULA, DELTA",26,10,041,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",800,900,"8,800","1,100"," "
1995,"MICHIGAN, NORTHEAST, MONTMORENCY",26,30,119,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",590,600,"6,400","1,080"," "
1995,"MICHIGAN, UPPER PENINSULA, OTHER (COMBINED) COUNTIES",26,10,"   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",200,200,"3,100","1,550"," "
1995,"MICHIGAN, EAST CENTRAL",26,60,"   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","272,500","275,000","4,966,000","1,820"," "
1995,"MICHIGAN, EAST CENTRAL, HURON",26,60,063,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","106,900","108,000","1,982,000","1,850"," "
1995,"MICHIGAN, WEST CENTRAL",26,40,"   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",700,700,"10,800","1,540"," "
1995,"MICHIGAN, WEST CENTRAL, MUSKEGON",26,40,121,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",200,200,"3,800","1,900"," "
1995,"MICHIGAN, CENTRAL, MECOSTA",26,50,107,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","2,950","2,950","44,800","1,520"," "
1995,"MICHIGAN, EAST CENTRAL, SAGINAW",26,60,145,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","22,100","22,300","367,000","1,660"," "
1995,"MICHIGAN, WEST CENTRAL, NEWAYGO",26,40,123,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",200,200,"2,600","1,300"," "
1995,"MICHIGAN, WEST CENTRAL, OCEANA",26,40,127,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",200,200,"2,600","1,300"," "
1995,"MICHIGAN, CENTRAL, ISABELLA",26,50,073,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","6,350","6,500","109,700","1,730"," "
1995,"MICHIGAN, WEST CENTRAL, OTHER (COMBINED) COUNTIES",26,40,"   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",100,100,"1,800","1,800"," "
1995,"MICHIGAN, NORTHEAST, OGEMAW",26,30,129,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",250,250,"2,500","1,000"," "
1995,"MICHIGAN, SOUTH CENTRAL, EATON",26,80,045,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","3,100","3,300","48,000","1,550"," "
1995,"US TOTAL","  ","  ","   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","1,896,300","2,066,300","30,689,000","1,618","633,620,000"
1995,"MICHIGAN, EAST CENTRAL, SANILAC",26,60,151,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","28,800","29,000","503,000","1,750"," "
1995,"MICHIGAN, NORTHEAST, OTSEGO",26,30,137,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",390,400,"5,400","1,380"," "
1995,"MICHIGAN, CENTRAL, GRATIOT",26,50,057,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","33,700","34,300","640,000","1,900"," "
1995,"MICHIGAN, SOUTH CENTRAL, IONIA",26,80,067,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","2,450","2,500","38,000","1,550"," "
1995,"MICHIGAN, NORTHEAST, PRESQUE ISLE",26,30,141,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","2,750","2,950","40,500","1,470"," "
1996,"MICHIGAN, NORTHEAST, ALCONA",26,30,001,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",950,"1,000","8,500",890," "
1996,"MICHIGAN, EAST CENTRAL, ARENAC",26,60,011,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","10,600","12,000","100,000",940," "
1996,"MICHIGAN, SOUTHWEST",26,70,"   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","3,000","3,100","51,000","1,700"," "
1996,"MICHIGAN, SOUTHEAST, OTHER (COMBINED) COUNTIES",26,90,"   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","3,350","3,550","55,700","1,660"," "
1996,"MICHIGAN, SOUTHEAST, LAPEER",26,90,087,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","3,150","3,350","47,300","1,500"," "
1996,"MICHIGAN, SOUTHEAST",26,90,"   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","6,500","6,900","103,000","1,580"," "
1996,"MICHIGAN, SOUTH CENTRAL, OTHER (COMBINED) COUNTIES",26,80,"   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","1,650","1,900","31,400","1,900"," "
