YEAR,LOCATION,"STATE ANSI","ASD CODE","COUNTY ANSI","REFERENCE PERIOD",COMMODITY,"AREA HARVESTED in ACRES","AREA PLANTED in ACRES","PRODUCTION in TONS","YIELD in TONS / ACRE","PRODUCTION in $","PRICE RECEIVED in $ / TON","PRODUCTION in $ / TON"
1968,"MICHIGAN, CENTRAL",26,50,"   ",YEAR,SUGARBEETS,"7,040"," ","135,500",19.2," "," "," "
1968,MICHIGAN,26,"  ","   ",YEAR,SUGARBEETS,"90,000","91,200","1,708,000",19," "," "," "
1968,"MICHIGAN, EAST CENTRAL",26,60,"   ",YEAR,SUGARBEETS,"74,790"," ","1,426,500",19.1," "," "," "
1969,"MICHIGAN, EAST CENTRAL",26,60,"   ",YEAR,SUGARBEETS,"76,090"," ","1,244,500",16.4," "," "," "
1969,"MICHIGAN, EAST CENTRAL, ARENAC",26,60,011,YEAR,SUGARBEETS,"1,750"," ","31,500",18," "," "," "
1969,"MICHIGAN, EAST CENTRAL, BAY",26,60,017,YEAR,SUGARBEETS,"16,440"," ","289,500",17.6," "," "," "
1969,"MICHIGAN, EAST CENTRAL, HURON",26,60,063,YEAR,SUGARBEETS,"13,800"," ","196,500",14.2," "," "," "
1969,"MICHIGAN, EAST CENTRAL, SAGINAW",26,60,145,YEAR,SUGARBEETS,"19,550"," ","350,000",17.9," "," "," "
1969,"MICHIGAN, EAST CENTRAL, SANILAC",26,60,151,YEAR,SUGARBEETS,"6,200"," ","77,000",12.4," "," "," "
1969,"MICHIGAN, EAST CENTRAL, TUSCOLA",26,60,157,YEAR,SUGARBEETS,"18,350"," ","300,000",16.3," "," "," "
1969,"MICHIGAN, SOUTH CENTRAL",26,80,"   ",YEAR,SUGARBEETS,610," ","8,400",13.8," "," "," "
1969,"MICHIGAN, SOUTH CENTRAL, CLINTON",26,80,037,YEAR,SUGARBEETS,560," ","7,600",13.6," "," "," "
1969,"MICHIGAN, SOUTH CENTRAL, SHIAWASSEE",26,80,155,YEAR,SUGARBEETS,50," ",800,16," "," "," "
1969,"MICHIGAN, SOUTHEAST",26,90,"   ",YEAR,SUGARBEETS,"7,720"," ","109,800",14.2," "," "," "
1969,"MICHIGAN, SOUTHEAST, GENESEE",26,90,049,YEAR,SUGARBEETS,120," ","1,000",8.3," "," "," "
1969,"MICHIGAN, SOUTHEAST, LAPEER",26,90,087,YEAR,SUGARBEETS,280," ","3,700",13.2," "," "," "
1969,"MICHIGAN, SOUTHEAST, LENAWEE",26,90,091,YEAR,SUGARBEETS,"2,140"," ","33,500",15.7," "," "," "
1969,"MICHIGAN, SOUTHEAST, MACOMB",26,90,099,YEAR,SUGARBEETS,100," ","1,600",16," "," "," "
1969,"MICHIGAN, SOUTHEAST, MONROE",26,90,115,YEAR,SUGARBEETS,"3,580"," ","51,500",14.4," "," "," "
1969,"MICHIGAN, SOUTHEAST, ST CLAIR",26,90,147,YEAR,SUGARBEETS,"1,500"," ","18,500",12.3," "," "," "
1969,"US TOTAL","  ","  ","   ",YEAR,SUGARBEETS,"1,540,500","1,647,100","27,736,000",18," "," "," "
1969,MICHIGAN,26,"  ","   ",YEAR,SUGARBEETS,"92,600","93,500","1,504,000",16.2," "," "," "
1969,"MICHIGAN, CENTRAL",26,50,"   ",YEAR,SUGARBEETS,"8,180"," ","141,300",17.3," "," "," "
1969,"MICHIGAN, CENTRAL, GLADWIN",26,50,051,YEAR,SUGARBEETS,210," ","4,300",20.5," "," "," "
1969,"MICHIGAN, CENTRAL, GRATIOT",26,50,057,YEAR,SUGARBEETS,"5,130"," ","90,500",17.6," "," "," "
1969,"MICHIGAN, CENTRAL, ISABELLA",26,50,073,YEAR,SUGARBEETS,620," ","9,000",14.5," "," "," "
1969,"MICHIGAN, CENTRAL, MIDLAND",26,50,111,YEAR,SUGARBEETS,"2,220"," ","37,500",16.9," "," "," "
1970,"US TOTAL","  ","  ","   ",YEAR,SUGARBEETS,"1,413,300","1,478,400","26,377,000",18.7," "," "," "
1970,MICHIGAN,26,"  ","   ",YEAR,SUGARBEETS,"89,900","93,200","1,913,000",21.3," "," "," "
1971,"MICHIGAN, SOUTHEAST, MONROE",26,90,115,YEAR,SUGARBEETS,"2,345"," ","42,960",18.3," "," "," "
1971,"US TOTAL","  ","  ","   ",YEAR,SUGARBEETS,"1,341,900","1,406,300","27,096,000",20.2," "," "," "
1971,"MICHIGAN, SOUTHEAST, LAPEER",26,90,087,YEAR,SUGARBEETS,270," ","3,810",14.1," "," "," "
1971,"MICHIGAN, SOUTHEAST, GENESEE",26,90,049,YEAR,SUGARBEETS,45," ",690,15.3," "," "," "
1971,"MICHIGAN, SOUTHEAST",26,90,"   ",YEAR,SUGARBEETS,"5,910"," ","108,750",18.4," "," "," "
1971,"MICHIGAN, SOUTH CENTRAL, SHIAWASSEE",26,80,155,YEAR,SUGARBEETS,70," ",340,4.9," "," "," "
1971,"MICHIGAN, SOUTH CENTRAL, CLINTON",26,80,037,YEAR,SUGARBEETS,150," ","2,670",17.8," "," "," "
1971,"MICHIGAN, SOUTH CENTRAL",26,80,"   ",YEAR,SUGARBEETS,220," ","3,010",13.7," "," "," "
1971,"MICHIGAN, EAST CENTRAL, TUSCOLA",26,60,157,YEAR,SUGARBEETS,"16,920"," ","295,390",17.5," "," "," "
1971,"MICHIGAN, EAST CENTRAL, SANILAC",26,60,151,YEAR,SUGARBEETS,"5,670"," ","79,630",14," "," "," "
1971,"MICHIGAN, EAST CENTRAL, SAGINAW",26,60,145,YEAR,SUGARBEETS,"16,950"," ","298,650",17.6," "," "," "
1971,"MICHIGAN, EAST CENTRAL, HURON",26,60,063,YEAR,SUGARBEETS,"13,360"," ","238,920",17.9," "," "," "
1971,"MICHIGAN, EAST CENTRAL, BAY",26,60,017,YEAR,SUGARBEETS,"16,460"," ","275,730",16.8," "," "," "
1971,"MICHIGAN, EAST CENTRAL, ARENAC",26,60,011,YEAR,SUGARBEETS,"1,790"," ","33,570",18.8," "," "," "
1971,"MICHIGAN, EAST CENTRAL",26,60,"   ",YEAR,SUGARBEETS,"71,150"," ","1,221,890",17.2," "," "," "
1971,"MICHIGAN, CENTRAL, MIDLAND",26,50,111,YEAR,SUGARBEETS,"1,805"," ","24,630",13.6," "," "," "
1971,"MICHIGAN, CENTRAL, ISABELLA",26,50,073,YEAR,SUGARBEETS,375," ","4,440",11.8," "," "," "
1971,"MICHIGAN, CENTRAL, GRATIOT",26,50,057,YEAR,SUGARBEETS,"2,940"," ","49,190",16.7," "," "," "
1971,"MICHIGAN, CENTRAL, GLADWIN",26,50,051,YEAR,SUGARBEETS,200," ","3,090",15.5," "," "," "
1971,"MICHIGAN, CENTRAL",26,50,"   ",YEAR,SUGARBEETS,"5,320"," ","81,350",15.3," "," "," "
1971,MICHIGAN,26,"  ","   ",YEAR,SUGARBEETS,"82,600","91,000","1,415,000",17.1," "," "," "
1971,"MICHIGAN, SOUTHEAST, MACOMB",26,90,099,YEAR,SUGARBEETS,120," ","2,190",18.3," "," "," "
1971,"MICHIGAN, SOUTHEAST, ST CLAIR",26,90,147,YEAR,SUGARBEETS,940," ","12,460",13.3," "," "," "
1971,"MICHIGAN, SOUTHEAST, LENAWEE",26,90,091,YEAR,SUGARBEETS,"2,190"," ","46,640",21.3," "," "," "
1972,MICHIGAN,26,"  ","   ",YEAR,SUGARBEETS,"86,600","94,500","1,638,000",18.9," "," "," "
1972,"US TOTAL","  ","  ","   ",YEAR,SUGARBEETS,"1,328,700","1,419,700","28,410,000",21.4," "," "," "
1973,"MICHIGAN, SOUTHEAST, LENAWEE",26,90,091,YEAR,SUGARBEETS,"1,360","1,370","20,660",15.2," "," "," "
1973,"MICHIGAN, SOUTHEAST, LAPEER",26,90,087,YEAR,SUGARBEETS,290,290,"4,090",14.1," "," "," "
1973,"MICHIGAN, SOUTHEAST, GENESEE",26,90,049,YEAR,SUGARBEETS,40,40,440,11," "," "," "
1973,"MICHIGAN, SOUTHEAST",26,90,"   ",YEAR,SUGARBEETS,"3,570","3,660","50,300",14.1," "," "," "
1973,"MICHIGAN, SOUTH CENTRAL, CLINTON",26,80,037,YEAR,SUGARBEETS,210,210,"3,190",15.2," "," "," "
1973,"MICHIGAN, SOUTH CENTRAL",26,80,"   ",YEAR,SUGARBEETS,210,210,"3,190",15.2," "," "," "
1973,"MICHIGAN, EAST CENTRAL, TUSCOLA",26,60,157,YEAR,SUGARBEETS,"19,490","19,900","340,510",17.5," "," "," "
1973,"MICHIGAN, EAST CENTRAL, SANILAC",26,60,151,YEAR,SUGARBEETS,"5,890","6,270","89,800",15.2," "," "," "
1973,"MICHIGAN, EAST CENTRAL, SAGINAW",26,60,145,YEAR,SUGARBEETS,"16,700","17,100","318,000",19," "," "," "
1973,"MICHIGAN, EAST CENTRAL, HURON",26,60,063,YEAR,SUGARBEETS,"16,300","16,500","285,000",17.5," "," "," "
1973,"MICHIGAN, SOUTHEAST, MACOMB",26,90,099,YEAR,SUGARBEETS,100,100,"1,550",15.5," "," "," "
1973,"MICHIGAN, EAST CENTRAL, ARENAC",26,60,011,YEAR,SUGARBEETS,"1,830","1,860","32,200",17.6," "," "," "
1973,"MICHIGAN, EAST CENTRAL",26,60,"   ",YEAR,SUGARBEETS,"76,910","79,030","1,353,510",17.6," "," "," "
1973,"MICHIGAN, CENTRAL, MIDLAND",26,50,111,YEAR,SUGARBEETS,"1,870","1,940","34,100",18.2," "," "," "
1973,"MICHIGAN, CENTRAL, ISABELLA",26,50,073,YEAR,SUGARBEETS,200,220,"3,240",16.2," "," "," "
1973,"MICHIGAN, CENTRAL, GRATIOT",26,50,057,YEAR,SUGARBEETS,"3,760","3,860","76,410",20.3," "," "," "
1973,"MICHIGAN, CENTRAL, GLADWIN",26,50,051,YEAR,SUGARBEETS,180,180,"3,250",18.1," "," "," "
1973,"MICHIGAN, CENTRAL",26,50,"   ",YEAR,SUGARBEETS,"6,010","6,200","117,000",19.5," "," "," "
1973,MICHIGAN,26,"  ","   ",YEAR,SUGARBEETS,"86,700","89,100","1,524,000",17.6," "," "," "
1973,"US TOTAL","  ","  ","   ",YEAR,SUGARBEETS,"1,217,500","1,280,100","24,499,000",20.1," "," "," "
1973,"MICHIGAN, SOUTHEAST, MONROE",26,90,115,YEAR,SUGARBEETS,670,720,"7,260",10.8," "," "," "
1973,"MICHIGAN, SOUTHEAST, ST CLAIR",26,90,147,YEAR,SUGARBEETS,"1,110","1,140","16,300",14.7," "," "," "
1973,"MICHIGAN, EAST CENTRAL, BAY",26,60,017,YEAR,SUGARBEETS,"16,700","17,400","288,000",17.2," "," "," "
1974,"MICHIGAN, SOUTHEAST, MACOMB",26,90,099,YEAR,SUGARBEETS,70,70,"1,260",18," "," "," "
1974,"MICHIGAN, SOUTHEAST, LENAWEE",26,90,091,YEAR,SUGARBEETS,"1,390","1,390","16,070",11.6," "," "," "
1974,"MICHIGAN, SOUTHEAST, LAPEER",26,90,087,YEAR,SUGARBEETS,240,240,"4,190",17.5," "," "," "
1974,"MICHIGAN, SOUTHEAST, GENESEE",26,90,049,YEAR,SUGARBEETS,40,40,660,16.5," "," "," "
1974,"MICHIGAN, SOUTHEAST",26,90,"   ",YEAR,SUGARBEETS,"3,540","3,630","43,700",12.3," "," "," "
1974,"MICHIGAN, SOUTH CENTRAL, OTHER (COMBINED) COUNTIES",26,80,"   ",YEAR,SUGARBEETS,10,10,50,5," "," "," "
1974,"MICHIGAN, SOUTH CENTRAL, CLINTON",26,80,037,YEAR,SUGARBEETS,220,230,"3,970",18," "," "," "
1974,"MICHIGAN, SOUTH CENTRAL",26,80,"   ",YEAR,SUGARBEETS,230,240,"4,020",17.5," "," "," "
1974,"MICHIGAN, EAST CENTRAL, TUSCOLA",26,60,157,YEAR,SUGARBEETS,"17,140","17,360","309,980",18.1," "," "," "
1974,"US TOTAL","  ","  ","   ",YEAR,SUGARBEETS,"1,212,600","1,251,500","22,123,000",18.2," "," "," "
1974,"MICHIGAN, EAST CENTRAL, SAGINAW",26,60,145,YEAR,SUGARBEETS,"14,200","14,400","270,000",19," "," "," "
1974,"MICHIGAN, EAST CENTRAL, HURON",26,60,063,YEAR,SUGARBEETS,"15,000","15,400","245,000",16.3," "," "," "
1974,"MICHIGAN, EAST CENTRAL, BAY",26,60,017,YEAR,SUGARBEETS,"15,200","15,700","253,000",16.6," "," "," "
1974,"MICHIGAN, EAST CENTRAL, ARENAC",26,60,011,YEAR,SUGARBEETS,"1,830","1,890","29,000",15.8," "," "," "
1974,"MICHIGAN, EAST CENTRAL",26,60,"   ",YEAR,SUGARBEETS,"70,110","71,850","1,201,280",17.1," "," "," "
1974,"MICHIGAN, CENTRAL, MIDLAND",26,50,111,YEAR,SUGARBEETS,"2,030","2,110","30,600",15.1," "," "," "
1974,"MICHIGAN, CENTRAL, ISABELLA",26,50,073,YEAR,SUGARBEETS,130,140,"1,450",11.2," "," "," "
1974,"MICHIGAN, CENTRAL, GRATIOT",26,50,057,YEAR,SUGARBEETS,"4,070","4,140","77,410",19," "," "," "
1974,"MICHIGAN, CENTRAL, GLADWIN",26,50,051,YEAR,SUGARBEETS,290,290,"5,540",19.1," "," "," "
1974,"MICHIGAN, CENTRAL",26,50,"   ",YEAR,SUGARBEETS,"6,520","6,680","115,000",17.6," "," "," "
1974,MICHIGAN,26,"  ","   ",YEAR,SUGARBEETS,"80,400","82,400","1,364,000",17," "," "," "
1974,"MICHIGAN, SOUTHEAST, ST CLAIR",26,90,147,YEAR,SUGARBEETS,"1,030","1,060","12,900",12.5," "," "," "
1974,"MICHIGAN, SOUTHEAST, MONROE",26,90,115,YEAR,SUGARBEETS,770,830,"8,620",11.2," "," "," "
1974,"MICHIGAN, EAST CENTRAL, SANILAC",26,60,151,YEAR,SUGARBEETS,"6,740","7,100","94,300",14," "," "," "
1975,"MICHIGAN, SOUTHEAST, OTHER (COMBINED) COUNTIES",26,90,"   ",YEAR,SUGARBEETS,"1,370","1,380","23,100",16.9," "," "," "
1975,"MICHIGAN, SOUTHEAST",26,90,"   ",YEAR,SUGARBEETS,"4,270","4,400","74,100",17.4," "," "," "
1975,"MICHIGAN, SOUTH CENTRAL, OTHER (COMBINED) COUNTIES",26,80,"   ",YEAR,SUGARBEETS,240,250,"4,380",18.3," "," "," "
1975,"MICHIGAN, SOUTH CENTRAL",26,80,"   ",YEAR,SUGARBEETS,240,250,"4,380",18.3," "," "," "
1975,"MICHIGAN, EAST CENTRAL, TUSCOLA",26,60,157,YEAR,SUGARBEETS,"20,600","20,800","402,880",19.6," "," "," "
1975,"MICHIGAN, EAST CENTRAL, SANILAC",26,60,151,YEAR,SUGARBEETS,"7,400","7,900","133,900",18.1," "," "," "
1975,"MICHIGAN, EAST CENTRAL, SAGINAW",26,60,145,YEAR,SUGARBEETS,"16,000","16,500","310,400",19.4," "," "," "
1975,"MICHIGAN, EAST CENTRAL, HURON",26,60,063,YEAR,SUGARBEETS,"16,800","17,000","336,000",20," "," "," "
1975,"MICHIGAN, EAST CENTRAL, BAY",26,60,017,YEAR,SUGARBEETS,"17,200","17,500","327,800",19.1," "," "," "
1975,"MICHIGAN, SOUTHEAST, LENAWEE",26,90,091,YEAR,SUGARBEETS,"1,700","1,720","30,600",18," "," "," "
1975,"MICHIGAN, EAST CENTRAL",26,60,"   ",YEAR,SUGARBEETS,"79,900","81,700","1,546,380",19.4," "," "," "
1975,"MICHIGAN, CENTRAL, OTHER (COMBINED) COUNTIES",26,50,"   ",YEAR,SUGARBEETS,440,450,"7,940",18," "," "," "
1975,"MICHIGAN, CENTRAL, MIDLAND",26,50,111,YEAR,SUGARBEETS,"2,250","2,350","40,500",18," "," "," "
1975,"MICHIGAN, CENTRAL, GRATIOT",26,50,057,YEAR,SUGARBEETS,"4,300","4,450","81,700",19," "," "," "
1975,"MICHIGAN, CENTRAL",26,50,"   ",YEAR,SUGARBEETS,"6,990","7,250","130,140",18.6," "," "," "
1975,MICHIGAN,26,"  ","   ",YEAR,SUGARBEETS,"91,400","93,600","1,755,000",19.2," "," "," "
1975,"MICHIGAN, SOUTHEAST, ST CLAIR",26,90,147,YEAR,SUGARBEETS,"1,200","1,300","20,400",17," "," "," "
1975,"US TOTAL","  ","  ","   ",YEAR,SUGARBEETS,"1,516,600","1,595,000","29,704,000",19.6," "," "," "
1975,"MICHIGAN, EAST CENTRAL, ARENAC",26,60,011,YEAR,SUGARBEETS,"1,900","2,000","35,400",18.6," "," "," "
1976,"US TOTAL","  ","  ","   ",YEAR,SUGARBEETS,"1,478,800","1,525,400","29,386,000",19.9," "," "," "
1976,"MICHIGAN, SOUTHEAST, MONROE",26,90,115,YEAR,SUGARBEETS,870,980,"14,700",16.9," "," "," "
1976,"MICHIGAN, SOUTHEAST, LENAWEE",26,90,091,YEAR,SUGARBEETS,"1,830","1,940","30,800",16.8," "," "," "
1976,"MICHIGAN, SOUTHEAST",26,90,"   ",YEAR,SUGARBEETS,"3,810","4,090","64,200",16.9," "," "," "
1976,"MICHIGAN, SOUTH CENTRAL, OTHER (COMBINED) COUNTIES",26,80,"   ",YEAR,SUGARBEETS,280,290,"4,720",16.9," "," "," "
1976,"MICHIGAN, SOUTH CENTRAL",26,80,"   ",YEAR,SUGARBEETS,280,290,"4,720",16.9," "," "," "
1976,"MICHIGAN, EAST CENTRAL, TUSCOLA",26,60,157,YEAR,SUGARBEETS,"19,530","19,880","329,080",16.9," "," "," "
1976,"MICHIGAN, EAST CENTRAL, SANILAC",26,60,151,YEAR,SUGARBEETS,"7,880","8,420","133,000",16.9," "," "," "
1976,"MICHIGAN, EAST CENTRAL, SAGINAW",26,60,145,YEAR,SUGARBEETS,"16,900","17,300","285,000",16.9," "," "," "
1976,"MICHIGAN, EAST CENTRAL, HURON",26,60,063,YEAR,SUGARBEETS,"17,400","17,600","293,000",16.8," "," "," "
1976,"MICHIGAN, EAST CENTRAL, BAY",26,60,017,YEAR,SUGARBEETS,"16,700","16,800","281,000",16.8," "," "," "
1976,"MICHIGAN, EAST CENTRAL, ARENAC",26,60,011,YEAR,SUGARBEETS,"1,900","1,950","32,000",16.8," "," "," "
1976,"MICHIGAN, EAST CENTRAL",26,60,"   ",YEAR,SUGARBEETS,"80,310","81,950","1,353,080",16.8," "," "," "
1976,"MICHIGAN, CENTRAL, OTHER (COMBINED) COUNTIES",26,50,"   ",YEAR,SUGARBEETS,370,380,"6,240",16.9," "," "," "
1976,"MICHIGAN, CENTRAL, MIDLAND",26,50,111,YEAR,SUGARBEETS,"2,260","2,430","38,100",16.9," "," "," "
1976,"MICHIGAN, CENTRAL, GRATIOT",26,50,057,YEAR,SUGARBEETS,"4,370","4,460","73,660",16.9," "," "," "
1976,"MICHIGAN, CENTRAL",26,50,"   ",YEAR,SUGARBEETS,"7,000","7,270","118,000",16.9," "," "," "
1976,MICHIGAN,26,"  ","   ",YEAR,SUGARBEETS,"91,400","93,600","1,540,000",16.8," "," "," "
1976,"MICHIGAN, SOUTHEAST, ST CLAIR",26,90,147,YEAR,SUGARBEETS,950,"1,010","16,000",16.8," "," "," "
1976,"MICHIGAN, SOUTHEAST, OTHER (COMBINED) COUNTIES",26,90,"   ",YEAR,SUGARBEETS,160,160,"2,700",16.9," "," "," "
1977,"MICHIGAN, SOUTHEAST, ST CLAIR",26,90,147,YEAR,SUGARBEETS,740,810,"15,600",21.1," "," "," "
1977,"MICHIGAN, SOUTHEAST, MONROE",26,90,115,YEAR,SUGARBEETS,500,580,"9,000",18," "," "," "
1977,"MICHIGAN, SOUTHEAST, LENAWEE",26,90,091,YEAR,SUGARBEETS,"1,330","1,410","27,100",20.4," "," "," "
1977,"MICHIGAN, SOUTHEAST, GENESEE",26,90,049,YEAR,SUGARBEETS,610,660,"12,850",21.1," "," "," "
1977,"MICHIGAN, SOUTHEAST",26,90,"   ",YEAR,SUGARBEETS,"3,320","3,610","67,460",20.3," "," "," "
1977,"MICHIGAN, SOUTH CENTRAL, OTHER (COMBINED) COUNTIES",26,80,"   ",YEAR,SUGARBEETS,270,290,"5,650",20.9," "," "," "
1977,"MICHIGAN, SOUTH CENTRAL, CLINTON",26,80,037,YEAR,SUGARBEETS,460,500,"9,730",21.2," "," "," "
1977,"MICHIGAN, SOUTH CENTRAL",26,80,"   ",YEAR,SUGARBEETS,730,790,"15,380",21.1," "," "," "
1977,"MICHIGAN, EAST CENTRAL, TUSCOLA",26,60,157,YEAR,SUGARBEETS,"18,700","20,200","395,000",21.1," "," "," "
1977,"MICHIGAN, EAST CENTRAL, SANILAC",26,60,151,YEAR,SUGARBEETS,"8,000","8,700","167,400",20.9," "," "," "
1977,"MICHIGAN, EAST CENTRAL, SAGINAW",26,60,145,YEAR,SUGARBEETS,"13,900","14,550","299,400",21.5," "," "," "
1977,"MICHIGAN, EAST CENTRAL, HURON",26,60,063,YEAR,SUGARBEETS,"16,700","18,200","351,400",21," "," "," "
1977,"MICHIGAN, EAST CENTRAL, BAY",26,60,017,YEAR,SUGARBEETS,"15,450","16,550","324,300",21," "," "," "
1977,"MICHIGAN, EAST CENTRAL, ARENAC",26,60,011,YEAR,SUGARBEETS,"1,740","1,990","30,710",17.6," "," "," "
1977,"MICHIGAN, EAST CENTRAL",26,60,"   ",YEAR,SUGARBEETS,"74,490","80,190","1,568,210",21.1," "," "," "
1977,"MICHIGAN, CENTRAL, MIDLAND",26,50,111,YEAR,SUGARBEETS,"2,700","3,070","55,450",20.5," "," "," "
1977,"MICHIGAN, CENTRAL, GRATIOT",26,50,057,YEAR,SUGARBEETS,"4,260","4,640","89,500",21," "," "," "
1977,"MICHIGAN, CENTRAL",26,50,"   ",YEAR,SUGARBEETS,"6,960","7,710","144,950",20.8," "," "," "
1977,MICHIGAN,26,"  ","   ",YEAR,SUGARBEETS,"85,500","92,300","1,796,000",21," "," "," "
1977,"US TOTAL","  ","  ","   ",YEAR,SUGARBEETS,"1,216,200","1,272,600","25,007,000",20.6," "," "," "
1977,"MICHIGAN, SOUTHEAST, OTHER (COMBINED) COUNTIES",26,90,"   ",YEAR,SUGARBEETS,140,150,"2,910",20.8," "," "," "
1978,"MICHIGAN, SOUTHEAST, ST CLAIR",26,90,147,YEAR,SUGARBEETS,740,740,"13,350",18," "," "," "
1978,"MICHIGAN, EAST CENTRAL, BAY",26,60,017,YEAR,SUGARBEETS,"16,740","16,950","315,900",18.9," "," "," "
1978,"MICHIGAN, SOUTHEAST, MACOMB",26,90,099,YEAR,SUGARBEETS,50,50,800,16," "," "," "
1978,"MICHIGAN, SOUTHEAST, LENAWEE",26,90,091,YEAR,SUGARBEETS,"1,840","1,850","33,750",18.3," "," "," "
1978,"MICHIGAN, SOUTHEAST, LAPEER",26,90,087,YEAR,SUGARBEETS,50,50,850,17," "," "," "
1978,"MICHIGAN, SOUTHEAST, GENESEE",26,90,049,YEAR,SUGARBEETS,20,20,400,20," "," "," "
1978,"MICHIGAN, SOUTHEAST",26,90,"   ",YEAR,SUGARBEETS,"3,490","3,500","61,680",17.7," "," "," "
1978,"MICHIGAN, SOUTH CENTRAL, SHIAWASSEE",26,80,155,YEAR,SUGARBEETS,165,165,"3,300",20," "," "," "
1978,"MICHIGAN, SOUTH CENTRAL, CLINTON",26,80,037,YEAR,SUGARBEETS,75,75,"1,500",20," "," "," "
1978,"MICHIGAN, SOUTH CENTRAL",26,80,"   ",YEAR,SUGARBEETS,240,240,"4,800",20," "," "," "
1978,"MICHIGAN, EAST CENTRAL, TUSCOLA",26,60,157,YEAR,SUGARBEETS,"20,900","21,000","412,400",19.7," "," "," "
1978,"MICHIGAN, EAST CENTRAL, SANILAC",26,60,151,YEAR,SUGARBEETS,"8,100","8,500","150,400",18.6," "," "," "
1978,"MICHIGAN, EAST CENTRAL, SAGINAW",26,60,145,YEAR,SUGARBEETS,"14,400","14,500","284,400",19.8," "," "," "
1978,"MICHIGAN, EAST CENTRAL, HURON",26,60,063,YEAR,SUGARBEETS,"18,520","19,000","364,900",19.7," "," "," "
1978,"US TOTAL","  ","  ","   ",YEAR,SUGARBEETS,"1,269,200","1,305,400","25,788,000",20.3,"649,846,000"," "," "
1978,"MICHIGAN, EAST CENTRAL, ARENAC",26,60,011,YEAR,SUGARBEETS,"1,840","1,980","33,900",18.4," "," "," "
1978,"MICHIGAN, EAST CENTRAL",26,60,"   ",YEAR,SUGARBEETS,"80,500","81,930","1,561,900",19.4," "," "," "
1978,"MICHIGAN, CENTRAL, MIDLAND",26,50,111,YEAR,SUGARBEETS,"2,470","2,480","48,200",19.5," "," "," "
1978,"MICHIGAN, CENTRAL, ISABELLA",26,50,073,YEAR,SUGARBEETS,50,50,"1,000",20," "," "," "
1978,"MICHIGAN, CENTRAL, GRATIOT",26,50,057,YEAR,SUGARBEETS,"4,530","4,580","88,400",19.5," "," "," "
1978,"MICHIGAN, CENTRAL, GLADWIN",26,50,051,YEAR,SUGARBEETS,220,220,"4,020",18.3," "," "," "
1978,"MICHIGAN, CENTRAL",26,50,"   ",YEAR,SUGARBEETS,"7,270","7,330","141,620",19.5," "," "," "
1978,MICHIGAN,26,"  ","   ","MARKETING YEAR",SUGARBEETS," "," "," "," "," ",23.5," "
1978,MICHIGAN,26,"  ","   ",YEAR,SUGARBEETS,"91,500","93,000","1,770,000",19.3,"41,595,000"," "," "
1978,"US TOTAL","  ","  ","   ","MARKETING YEAR",SUGARBEETS," "," "," "," "," ",25.2," "
1978,"MICHIGAN, SOUTHEAST, MONROE",26,90,115,YEAR,SUGARBEETS,790,790,"12,530",15.9," "," "," "
1979,"MICHIGAN, EAST CENTRAL, HURON",26,60,063,YEAR,SUGARBEETS,"18,930","19,600","301,600",15.9," "," "," "
1979,"MICHIGAN, SOUTHEAST, ST CLAIR",26,90,147,YEAR,SUGARBEETS,700,710,"12,640",18.1," "," "," "
1979,"MICHIGAN, SOUTHEAST, MACOMB",26,90,099,YEAR,SUGARBEETS,40,40,700,17.5," "," "," "
1979,"MICHIGAN, SOUTHEAST, LENAWEE",26,90,091,YEAR,SUGARBEETS,"1,900","2,030","41,760",22," "," "," "
1979,"MICHIGAN, SOUTHEAST, GENESEE",26,90,049,YEAR,SUGARBEETS," ",20," "," "," "," "," "
1979,"MICHIGAN, SOUTHEAST",26,90,"   ",YEAR,SUGARBEETS,"3,080","3,550","63,300",20.6," "," "," "
1979,"MICHIGAN, SOUTH CENTRAL, SHIAWASSEE",26,80,155,YEAR,SUGARBEETS,130,130,"2,370",18.2," "," "," "
1979,"MICHIGAN, SOUTH CENTRAL, CLINTON",26,80,037,YEAR,SUGARBEETS,90,90,"1,530",17," "," "," "
1979,"MICHIGAN, SOUTH CENTRAL",26,80,"   ",YEAR,SUGARBEETS,220,220,"3,900",17.7," "," "," "
1979,"MICHIGAN, EAST CENTRAL, TUSCOLA",26,60,157,YEAR,SUGARBEETS,"21,330","21,900","376,900",17.7," "," "," "
1979,"MICHIGAN, EAST CENTRAL, SANILAC",26,60,151,YEAR,SUGARBEETS,"8,330","8,850","150,200",18," "," "," "
1979,"MICHIGAN, EAST CENTRAL, SAGINAW",26,60,145,YEAR,SUGARBEETS,"12,140","12,900","230,200",19," "," "," "
1979,"MICHIGAN, SOUTHEAST, MONROE",26,90,115,YEAR,SUGARBEETS,440,750,"8,200",18.6," "," "," "
1979,"MICHIGAN, EAST CENTRAL, BAY",26,60,017,YEAR,SUGARBEETS,"15,700","16,800","270,700",17.2," "," "," "
1979,"MICHIGAN, EAST CENTRAL, ARENAC",26,60,011,YEAR,SUGARBEETS,"1,720","2,080","25,900",15.1," "," "," "
1979,"MICHIGAN, EAST CENTRAL",26,60,"   ",YEAR,SUGARBEETS,"78,150","82,130","1,355,500",17.3," "," "," "
1979,"MICHIGAN, CENTRAL, MIDLAND",26,50,111,YEAR,SUGARBEETS,"2,040","2,160","38,500",18.9," "," "," "
